TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,20,5,1220,2550,0,50,2,X,02,2020
1,0101,25,6,1220,5876,0,115,1,X,02,2020
1,0101,29,5,1220,26348,0,516,2,X,02,2020
1,0101,38,5,1220,295750,0,1881,1,X,02,2020
1,0101,39,5,1220,204281,0,3982,1,X,02,2020
1,0101,39,5,1220,34748,0,681,2,X,02,2020
1,0101,40,5,1220,21895,0,429,1,X,02,2020
1,0101,48,5,1220,50651,0,1010,1,X,02,2020
1,0101,63,5,1220,6978,0,136,1,X,02,2020
1,0101,63,5,1220,3973,0,78,2,X,02,2020
1,0101,68,5,1220,23903,0,468,1,X,02,2020
1,0101,70,5,1220,10539,0,190,1,X,02,2020
1,0101,73,5,1220,7420,0,431,1,X,02,2020
1,0101,74,5,1220,4566,0,88,1,X,02,2020
1,0101,83,5,1220,2703,0,56,2,X,02,2020
1,0101,84,5,1220,25866,0,502,1,X,02,2020
1,0101,84,5,1220,36873,0,872,2,X,02,2020
1,0101,85,5,1220,14021,0,274,1,X,02,2020
1,0101,85,5,1220,47701,0,935,2,X,02,2020
1,0101,87,5,1220,33373,0,509,2,X,02,2020
1,0101,90,5,1220,12681,0,229,1,X,02,2020
1,0101,90,5,1220,5797,0,113,2,X,02,2020
1,0101,94,5,1220,20586,0,403,1,X,02,2020
1,0102,44,5,1220,7029,0,137,1,X,02,2020
1,0102,72,6,1220,238349,0,5765,1,X,02,2020
1,0102,76,6,1220,31130,0,589,1,X,02,2020
1,0102,87,6,1220,470196,0,3777,1,X,02,2020
1,0102,98,8,1220,127076,0,225,1,X,02,2020
1,0103,11,5,1220,7355,0,536,1,X,02,2020
1,0103,73,5,1220,36720,0,1490,1,X,02,2020
1,0103,85,5,1220,9377,0,183,1,X,02,2020
1,0104,10,6,1220,146148,0,2862,1,X,02,2020
1,0104,11,5,1220,21712,0,1129,1,X,02,2020
1,0104,12,5,1220,8776,0,1234,1,X,02,2020
1,0104,17,5,1220,82922,0,752,1,X,02,2020
1,0104,19,5,1220,43227,0,3387,1,X,02,2020
1,0104,21,5,1220,30332,0,144,1,X,02,2020
1,0104,25,5,1220,10808,0,217,1,X,02,2020
1,0104,27,5,1220,49432,0,1854,1,X,02,2020
1,0104,31,5,1220,16381,0,2057,1,X,02,2020
1,0104,32,5,1220,4446,0,156,2,X,02,2020
1,0104,39,5,1220,81893,0,3339,1,X,02,2020
1,0104,40,5,1220,7994,0,362,1,X,02,2020
1,0104,44,5,1220,15251174,0,656689,1,X,02,2020
1,0104,44,5,1220,44662,0,491,2,X,02,2020
1,0104,44,6,1220,106704,0,4830,1,X,02,2020
1,0104,44,8,1220,3987,0,338,1,X,02,2020
1,0104,47,5,1220,459005,0,23102,1,X,02,2020
1,0104,48,5,1220,6088006,0,520768,1,X,02,2020
1,0104,48,5,1220,2872,0,83,2,X,02,2020
1,0104,54,5,1220,1200418,0,9757,1,X,02,2020
1,0104,55,5,1220,392321,0,3605,1,X,02,2020
1,0104,56,5,1220,20924,0,298,1,X,02,2020
